date,open,high,low,close,volume
2023-09-14,56.099998,66.279999,55.540001,63.590000,130534500
2023-09-15,68.629997,69.000000,60.750000,60.750000,74753100
2023-09-18,57.950001,58.741001,55.020000,58.000000,34571900
2023-09-19,56.250000,56.779999,53.880001,55.169998,18308600
2023-09-20,55.169998,55.400002,51.520000,52.910000,16369500
2023-09-21,51.779999,52.799999,49.849998,52.160000,15010900
2023-09-22,52.900002,52.900002,50.355000,51.320000,8430200
2023-09-25,51.119999,54.500000,50.020000,54.439999,12896500
2023-09-26,53.930000,54.529999,52.700001,53.520000,6283500
2023-09-27,54.400002,54.410000,51.789001,52.990002,6866700
2023-09-28,53.500000,56.500000,52.860001,55.490002,8765800
2023-09-29,56.209999,56.790001,53.080002,53.520000,7810000
2023-10-02,53.474998,54.189999,51.910000,52.259998,8857100
2023-10-03,51.959999,52.235001,50.799999,51.570000,4687700
2023-10-04,51.970001,53.810001,51.310001,53.459999,6206500
2023-10-05,53.900002,53.900002,52.090000,52.509998,2984400
2023-10-06,52.720001,54.209999,51.549999,54.080002,4009200
2023-10-09,54.320000,55.799999,53.369999,54.250000,7197700
2023-10-10,55.240002,55.860001,54.200001,55.709999,5138100
2023-10-11,56.169998,56.330002,54.380001,54.680000,4454700
2023-10-12,54.750000,54.750000,51.410000,51.849998,7323100
2023-10-13,52.500000,52.560001,50.000000,50.779999,6454600
2023-10-16,51.040001,52.349998,51.040001,52.090000,3316800
2023-10-17,51.000000,52.759998,50.650002,52.290001,2549700
2023-10-18,52.279999,52.700001,51.275002,51.900002,2268900
2023-10-19,52.000000,52.700001,49.529999,49.740002,4553400
2023-10-20,49.740002,49.740002,46.500000,47.869999,8089100
2023-10-23,47.220001,51.880001,46.500000,50.209999,9979300
2023-10-24,52.000000,52.891998,51.049999,52.369999,7211700
2023-10-25,52.700001,52.790001,49.310001,49.439999,4518800
2023-10-26,50.060001,51.110001,49.500000,50.169998,3555300
2023-10-27,51.259998,51.330002,48.810001,49.090000,2611300
2023-10-30,49.509998,49.900002,47.279999,47.900002,3677700
2023-10-31,47.900002,49.660000,47.119999,49.290001,3248700
2023-11-01,49.610001,50.520000,48.299999,50.520000,3066400
2023-11-02,51.400002,53.560001,51.299999,52.820000,4752700
2023-11-03,52.820000,53.860001,52.250000,53.490002,2545000
2023-11-06,53.980000,54.459999,52.520000,53.099998,2328300
2023-11-07,53.450001,56.099998,53.259998,55.270000,4534200
2023-11-08,55.270000,55.560001,53.389999,54.400002,6128200
2023-11-09,51.000000,52.049999,49.820000,51.580002,15354500
2023-11-10,52.000000,52.500000,51.009998,52.270000,5796700
2023-11-13,52.200001,52.500000,50.570000,51.689999,4525000
2023-11-14,53.000000,53.500000,52.279999,53.430000,3541300
2023-11-15,54.400002,56.029999,54.080002,55.430000,5821800
2023-11-16,55.509998,55.680000,53.470001,54.230000,3291400
2023-11-17,55.110001,55.740002,54.259998,54.990002,3441900
2023-11-20,55.349998,59.240002,55.270000,58.680000,7791000
2023-11-21,58.000000,58.900002,56.430000,58.660000,5615400
2023-11-22,59.000000,64.919998,59.000000,61.759998,15090000
2023-11-24,61.500000,64.199997,61.410000,63.880001,6004900
2023-11-27,63.049999,63.689999,60.990002,61.000000,6681900
2023-11-28,60.840000,62.680000,60.790001,61.919998,4106900
2023-11-29,62.520000,63.410000,61.689999,62.209999,3642400
2023-11-30,62.580002,63.500000,60.910000,61.500000,4833300
2023-12-01,61.509998,64.430000,60.910000,63.900002,5446200
2023-12-04,63.900002,63.900002,60.799999,61.930000,5012200
2023-12-05,61.730000,64.348999,60.369999,63.590000,6666900
2023-12-06,64.349998,64.690002,60.889999,61.060001,5434400
2023-12-07,61.520000,62.970001,61.200001,62.439999,3139100
2023-12-08,62.439999,67.440002,62.235001,67.230003,18815900
2023-12-11,67.260002,67.260002,64.290001,64.889999,7625500
2023-12-12,65.000000,66.250000,63.279999,64.709999,5711700
2023-12-13,65.410004,66.500000,62.750000,65.610001,7024000
2023-12-14,66.519997,71.790001,66.370003,70.735001,11835000
2023-12-15,70.500000,71.889999,69.290001,71.029999,7058400
2023-12-18,69.959999,70.092003,68.019997,68.870003,4744800
2023-12-19,69.230003,70.550003,68.809998,69.430000,3899300
2023-12-20,69.500000,72.989998,68.379997,68.400002,8177600
2023-12-21,70.000000,71.949997,69.300003,71.199997,5407600
2023-12-22,72.000000,73.439003,71.480003,72.290001,5763900
2023-12-26,73.269997,74.000000,71.760002,73.410004,4046600
2023-12-27,74.500000,74.760002,73.410004,74.250000,3802000
2023-12-28,74.790001,78.349998,74.500000,77.470001,9176900
2023-12-29,78.360001,78.660004,74.599998,75.144997,11178300
2024-01-02,73.500000,73.519997,68.242996,68.919998,9771000
2024-01-03,67.070000,68.500000,65.110001,67.910004,7858200
2024-01-04,68.989998,69.599998,67.139999,68.389999,5757600
2024-01-05,69.120003,70.389999,66.519997,67.050003,7356600
2024-01-08,67.760002,73.184998,67.519997,72.839996,9303500
